0,5.125,9.125,0
1,4.875,8.875,0
2,5.25,9.125,0
3,5.125,9.25,0
4,4.5,8.5,0
5,4,7.125,0
6,4,6.875,0
7,4,7.25,0
8,4,6.75,0
9,3.5,6.5,0
10,1.125,3,0
11,0.875,3,0
12,1.25,3,0
13,0.75,3,0
14,0.5,2.5,0
15,3.5,7.5,0
16,3,0.125,0
17,3,-0.125,0
18,3,0.25,0
19,3,-0.25,0
20,2.5,-0.5,0
21,2.125,8,0
22,1.875,8,0
23,2.25,8,0
24,1.75,8,0
25,1.5,7.5,0
26,4.875,3.875,0
27,4.875,4.125,0
28,5.125,3.875,0
29,5.125,4.125,0
30,5.25,4,0
31,4.5,3.5,0
32,0.125,7,0
33,-0.125,7,0
34,0.25,7,0
35,-0.25,7,0
36,-0.5,6.5,0
37,0.125,0.125,0
38,-0.125,-0.125,0
39,-0.25,-0.125,0
40,-0.125,-0.25,0
41,-0.5,-0.5,0
42,0.875,5.875,0
43,0.875,6.125,0
44,1.125,5.875,0
45,1.125,6.125,0
46,1,5.75,0
47,0.5,5.5,0
48,5.125,1,0
49,4.875,1,0
50,5.25,1,0
51,4.75,1,0
52,4.5,0.5,0
53,3.125,6.875,0
54,2.875,7.125,0
55,2.75,7.125,0
56,2.875,7.25,0
57,2.5,6.5,0
58,1.5,4.5,0
59,1.875,-0.125,0
60,1.875,0.125,0
61,2.125,-0.125,0
62,2.125,0.125,0
63,2,-0.25,0
64,1.5,-0.5,0
65,-0.5,2.5,0
66,5.125,8,0
67,4.875,8,0
68,5.25,8,0
69,4.75,8,0
70,4.5,7.5,0
71,4,0.125,0
72,4,-0.125,0
73,4,0.25,0
74,4,-0.25,0
75,3.5,-0.5,0
76,1.125,2,0
77,0.875,2,0
78,1.25,2,0
79,0.75,2,0
80,0.5,1.5,0
81,4,9.125,0
82,4,8.875,0
83,4,9.25,0
84,4,8.75,0
85,3.5,8.5,0
86,5.125,5,0
87,4.875,5,0
88,5.25,5,0
89,4.75,5,0
90,4.5,4.5,0
91,1.875,8.875,0
92,1.875,9.125,0
93,2.125,8.875,0
94,2.125,9.125,0
95,2,9.25,0
96,1.5,8.5,0
97,0.5,4.5,0
98,4,4.125,0
99,4,3.875,0
100,4,4.25,0
101,4,3.75,0
102,3.5,3.5,0
103,5.125,6,0
104,4.875,6,0
105,5.25,6,0
106,4.75,6,0
107,4.5,5.5,0
108,5.125,-0.125,0
109,4.875,0.125,0
110,5.25,-0.125,0
111,5.125,-0.25,0
112,4.5,-0.5,0
113,-0.5,3.5,0
114,3.125,3,0
115,2.875,3,0
116,3.25,3,0
117,2.75,3,0
118,2.5,2.5,0
119,3.125,5,0
120,2.875,5,0
121,3.25,5,0
122,2.75,5,0
123,2.5,4.5,0
124,3.5,0.5,0
125,1.125,0.875,0
126,0.875,1.125,0
127,1.25,0.875,0
128,1.125,0.75,0
129,0.5,0.5,0
130,2.125,7,0
131,1.875,7,0
132,2.25,7,0
133,1.75,7,0
134,1.5,6.5,0
135,3.125,1.875,0
136,2.875,2.125,0
137,3.25,1.875,0
138,3.125,1.75,0
139,2.5,1.5,0
140,2.125,5.875,0
141,1.875,6.125,0
142,2.25,5.875,0
143,2.125,5.75,0
144,1.5,5.5,0
145,3.125,6,0
146,2.875,6,0
147,3.25,6,0
148,2.75,6,0
149,2.5,5.5,0
150,3.5,4.5,0
151,2.125,1.875,0
152,1.875,2.125,0
153,1.75,2.125,0
154,1.875,2.25,0
155,1.5,1.5,0
156,1.125,3.875,0
157,0.875,4.125,0
158,0.75,4.125,0
159,0.875,4.25,0
160,0.5,3.5,0
161,2.125,1,0
162,1.875,1,0
163,2.25,1,0
164,1.75,1,0
165,1.5,0.5,0
166,3,9.125,0
167,3,8.875,0
168,3,9.25,0
169,3,8.75,0
170,2.5,8.5,0
171,1.5,2.5,0
172,1,9.125,0
173,1,8.875,0
174,1,9.25,0
175,1,8.75,0
176,0.5,8.5,0
177,4,2,1
178,3.5,1.5,1
179,1,0.125,0
180,1,-0.125,0
181,1,0.25,0
182,1,-0.25,0
183,0.5,-0.5,0
184,0.125,8,0
185,-0.125,8,0
186,0.25,8,0
187,-0.25,8,0
188,-0.5,7.5,0
189,4.875,6.875,0
190,4.875,7.125,0
191,5.125,6.875,0
192,5.125,7.125,0
193,5.25,7,0
194,4.5,6.5,0
195,5.125,3,0
196,4.875,3,0
197,5.25,3,0
198,4.75,3,0
199,4.5,2.5,0
200,0.125,0.875,0
201,-0.125,1.125,0
202,-0.25,1.125,0
203,-0.125,1.25,0
204,-0.5,0.5,0
205,3.5,5.5,0
206,5.125,2,0
207,4.875,2,0
208,5.25,2,0
209,4.75,2,0
210,4.5,1.5,0
211,2.5,0.5,0
212,-0.5,1.5,0
213,2.5,7.5,0
214,0.125,6.125,0
215,-0.125,5.875,0
216,-0.25,5.875,0
217,-0.125,5.75,0
218,-0.5,5.5,0
219,1.125,8.125,0
220,0.875,8.125,0
221,1,8.25,0
222,0.5,7.5,0
223,3.5,2.5,0
224,1.125,7,0
225,0.875,7,0
226,1.25,7,0
227,0.75,7,0
228,0.5,6.5,0
229,0.125,8.875,0
230,-0.125,9.125,0
231,-0.25,9.125,0
232,-0.125,9.25,0
233,-0.5,8.5,0
234,-0.5,4.5,0
235,2.875,3.875,0
236,2.875,4.125,0
237,3.125,3.875,0
238,3.125,4.125,0
239,2.5,3.5,0
240,2,4.125,0
241,2,3.875,0
242,2,4.25,0
243,2,3.75,0
244,1.5,3.5,0
245,5,7,2
246,0,6,2
247,1,7,2
248,1,4,2
249,5,4,2
250,1,2,2
251,5,8,2
252,0,9,2
253,3,9,2
254,0,0,2
255,5,2,2
256,4,9,2
257,4,0,2
258,1,3,2
259,3,4,2
260,5,5,2
261,2,4,2
262,1,9,2
263,2,9,2
264,5,0,2
265,3,0,2
266,5,9,2
267,4,2,2
268,0,8,2
269,4,4,2
270,2,8,2
271,4,7,2
272,5,3,2
273,3,5,2
274,0,7,2
275,5,6,2
276,1,8,2
277,0,1,2
278,2,7,2
279,3,6,2
280,3,2,2
281,1,6,2
282,2,2,2
283,2,6,2
284,5,1,2
285,1.75,6.75,5
286,0.25,0.75,5
287,2.25,6.25,5
288,5.25,0.75,5
289,1.75,1.75,4
290,4.25,0.25,4
291,1.75,4.75,5
292,1.25,1.75,5
293,4.25,3.75,5
294,3.25,-0.25,4
295,1.75,6.25,4
296,5.25,6.25,4
297,3.75,3.75,5
298,5.25,5.75,5
299,4.25,8.75,5
300,1.25,3.25,5
301,-0.25,0.75,4
302,1.75,7.25,4
303,3.75,4.25,4
304,2.75,7.75,5
305,3.75,-0.25,5
306,-0.25,8.25,4
307,3.25,0.75,4
308,4.25,4.25,5
309,2.25,4.25,4
310,-0.25,0.25,4
311,3.75,4.75,5
312,2.25,2.75,4
313,0.75,5.75,4
314,5.25,8.25,4
315,3.75,8.25,5
316,4.75,-0.25,5
317,2.75,4.75,5
318,5.25,8.75,4
319,4.75,0.75,4
320,4.75,-0.25,4
321,-0.25,6.25,5
322,4.25,0.25,5
323,3.25,5.75,5
324,1.75,3.25,5
325,0.75,6.25,4
326,2.75,5.75,5
327,1.25,6.25,4
328,0.25,1.25,5
329,3.75,7.75,4
330,0.75,9.25,5
331,3.25,1.25,5
332,0.75,5.75,5
333,1.75,5.75,5
334,1.25,2.25,4
335,4.75,9.25,5
336,4.75,3.75,4
337,2.25,7.25,5
338,3.25,4.75,5
339,4.75,4.75,5
340,1.25,5.75,4
341,5.25,1.75,4
342,5.25,2.75,5
343,5.25,4.25,4
344,5.25,7.25,4
345,2.75,2.25,5
346,-0.25,7.75,4
347,2.75,0.75,5
348,4.75,5.75,5
349,4.75,7.25,5
350,1.25,7.25,5
351,3.75,5.75,4
352,3.25,6.25,4
353,0.75,3.25,4
354,4.75,6.75,4
355,0.75,2.75,5
356,2.75,4.75,4
357,2.25,4.75,5
358,3.25,2.25,4
359,2.25,8.25,5
360,1.25,8.25,5
361,4.75,0.25,4
362,-0.25,9.25,4
363,4.75,7.75,4
364,2.75,5.75,4
365,1.25,5.25,5
366,-0.25,7.25,5
367,4.25,7.25,5
368,3.75,0.25,4
369,1.75,2.75,5
370,0.75,7.25,4
371,3.75,4.25,5
372,3.25,8.75,5
373,3.25,0.75,5
374,2.75,0.75,4
375,3.75,6.75,4
376,4.75,4.75,4
377,4.25,9.25,4
378,2.75,1.25,5
379,0.75,6.75,5
380,2.75,8.25,4
381,2.75,8.75,4
382,0.75,5.25,5
383,2.75,5.25,5
384,0.75,1.75,5
385,4.25,6.25,5
386,0.25,8.25,4
387,0.25,8.75,5
388,5.25,3.75,5
389,5.25,3.25,5
390,4.75,5.75,4
391,0.75,3.75,4
392,2.75,3.75,5
393,1.25,7.25,4
394,3.75,2.25,4
395,3.75,8.75,4
396,1.75,9.25,5
397,4.25,4.75,5
398,1.25,9.25,4
399,1.75,7.75,4
400,2.25,5.25,4
401,1.25,4.25,4
402,2.75,1.75,4
403,4.25,4.25,4
404,0.25,5.75,4
405,3.25,7.75,5
406,2.25,3.75,4
407,4.75,1.25,4
408,0.25,7.75,5
409,-0.25,5.75,4
410,3.75,1.75,5
411,0.25,0.25,4
412,4.25,5.25,4
413,4.25,1.75,5
414,3.75,7.25,5
415,3.25,9.25,4
416,4.25,2.25,4
417,5.25,4.25,5
418,4.75,8.75,5
419,4.25,0.75,5
420,1.75,2.25,5
421,3.75,1.75,4
422,0.75,2.25,5
423,2.75,7.75,4
424,1.75,8.25,4
425,0.25,8.75,4
426,0.75,7.75,5
427,3.75,6.25,5
428,5.25,0.75,4
429,4.25,2.25,5
430,3.75,-0.25,4
431,4.25,-0.25,5
432,1.25,2.75,4
433,2.25,8.75,4
434,2.75,-0.25,5
435,3.75,2.25,5
436,1.25,8.75,4
437,4.25,5.25,5
438,2.25,6.75,5
439,0.75,4.75,4
440,1.75,6.75,4
441,1.75,7.75,5
442,3.25,4.25,4
443,4.75,9.25,4
444,0.75,4.25,5
445,1.25,4.25,5
446,5.25,7.75,5
447,0.25,8.25,5
448,4.25,3.75,4
449,2.25,5.75,5
450,1.75,9.25,4
451,3.75,3.75,4
452,1.25,8.25,4
453,3.25,8.25,5
454,4.25,9.25,5
455,3.25,2.25,5
456,1.75,8.25,5
457,0.75,8.75,5
458,5.25,5.75,4
459,-0.25,-0.25,4
460,2.25,8.25,4
461,5.25,6.75,5
462,5.25,1.25,5
463,1.75,8.75,5
464,5.25,5.25,5
465,5.25,0.25,5
466,3.75,0.75,5
467,3.75,4.75,4
468,-0.25,6.75,4
469,2.25,7.75,4
470,2.75,2.25,4
471,4.25,1.25,4
472,2.75,1.75,5
473,1.25,3.25,4
474,3.75,8.25,4
475,1.75,2.75,4
476,3.75,9.25,5
477,0.25,9.25,5
478,-0.25,6.25,4
479,5.25,4.75,5
480,1.75,3.75,5
481,5.25,0.25,4
482,2.25,2.25,5
483,3.75,1.25,5
484,1.75,3.25,4
485,0.25,6.25,5
486,0.25,6.75,5
487,2.25,1.75,4
488,0.75,9.25,4
489,1.25,7.75,4
490,2.25,5.75,4
491,3.25,5.25,4
492,0.75,8.25,5
493,0.75,6.25,5
494,1.75,5.25,5
495,4.75,0.75,5
496,5.25,2.75,4
497,2.25,7.75,5
498,2.75,4.25,5
499,5.25,-0.25,5
500,-0.25,8.75,5
501,4.75,8.25,5
502,3.25,3.75,5
503,4.75,1.75,4
504,0.75,3.25,5
505,4.75,2.25,5
506,0.25,6.25,4
507,5.25,6.75,4
508,-0.25,1.25,5
509,3.25,5.25,5
510,4.25,1.25,5
511,3.25,-0.25,5
512,4.75,7.75,5
513,4.75,2.25,4
514,3.25,1.75,4
515,2.75,8.75,5
516,2.25,4.75,4
517,5.25,2.25,5
518,3.25,4.25,5
519,1.75,5.75,4
520,2.75,6.25,4
521,1.25,6.75,5
522,0.25,9.25,4
523,2.75,6.25,5
524,5.25,4.75,4
525,1.75,3.75,4
526,4.75,3.25,4
527,4.75,1.75,5
528,3.25,1.25,4
529,2.25,9.25,5
530,0.25,0.25,5
531,0.75,4.25,4
532,2.75,0.25,4
533,0.25,-0.25,5
534,0.25,7.25,4
535,4.75,5.25,5
536,2.25,2.75,5
537,1.25,7.75,5
538,1.25,3.75,4
539,3.25,8.75,4
540,1.75,8.75,4
541,-0.25,7.75,5
542,5.25,8.75,5
543,2.75,1.25,4
544,0.75,6.75,4
545,1.25,6.25,5
546,0.25,1.25,4
547,1.75,4.75,4
548,4.75,6.25,4
549,2.75,9.25,5
550,2.75,4.25,4
551,3.75,7.25,4
552,0.75,1.75,4
553,1.25,4.75,5
554,4.25,8.25,4
555,2.25,9.25,4
556,3.25,3.75,4
557,2.75,9.25,4
558,1.25,2.25,5
559,5.25,3.25,4
560,3.75,7.75,5
561,2.75,3.75,4
562,4.75,7.25,4
563,2.75,5.25,4
564,0.75,3.75,5
565,4.75,3.75,5
566,5.25,7.75,4
567,4.75,5.25,4
568,0.25,-0.25,4
569,4.25,5.75,5
570,5.25,1.75,5
571,4.25,1.75,4
572,4.75,6.75,5
573,4.75,4.25,4
574,1.25,6.75,4
575,1.25,5.25,4
576,3.25,7.75,4
577,4.25,6.75,5
578,1.25,3.75,5
579,0.75,2.25,4
580,3.25,6.25,5
581,1.25,4.75,4
582,0.75,8.75,4
583,3.25,0.25,5
584,1.25,9.25,5
585,4.25,7.25,4
586,2.25,3.25,5
587,4.25,0.75,4
588,1.75,2.25,4
589,3.75,5.25,5
590,2.75,0.25,5
591,4.75,2.75,5
592,2.25,6.25,4
593,-0.25,9.25,5
594,0.75,7.75,4
595,-0.25,6.75,5
596,4.25,4.75,4
597,1.75,7.25,5
598,3.75,6.25,4
599,2.25,1.75,5
600,0.75,7.25,5
601,5.25,3.75,4
602,3.75,6.75,5
603,4.25,8.75,4
604,0.25,0.75,4
605,4.25,5.75,4
606,2.75,-0.25,4
607,4.75,3.25,5
608,1.25,1.75,4
609,0.25,7.25,5
610,4.25,6.75,4
611,1.75,4.25,5
612,3.75,8.75,5
613,3.25,4.75,4
614,2.25,6.75,4
615,3.25,0.25,4
616,5.25,9.25,4
617,3.25,1.75,5
618,1.25,5.75,5
619,3.25,8.25,4
620,0.75,2.75,4
621,4.75,2.75,4
622,2.25,5.25,5
623,4.25,7.75,4
624,5.25,8.25,5
625,2.75,8.25,5
626,5.25,1.25,4
627,3.25,9.25,5
628,4.75,6.25,5
629,4.75,4.25,5
630,5.25,5.25,4
631,2.25,3.75,5
632,5.25,-0.25,4
633,4.25,-0.25,4
634,5.25,6.25,5
635,4.75,1.25,5
636,3.75,0.75,4
637,1.75,6.25,5
638,-0.25,5.75,5
639,4.25,7.75,5
640,-0.25,-0.25,5
641,3.75,1.25,4
642,3.75,5.25,4
643,1.75,1.75,5
644,0.25,7.75,4
645,4.75,0.25,5
646,5.25,2.25,4
647,-0.25,1.25,4
648,3.75,9.25,4
649,2.25,3.25,4
650,3.75,5.75,5
651,2.25,2.25,4
652,4.75,8.75,4
653,-0.25,7.25,4
654,5.25,7.25,5
655,2.25,4.25,5
656,-0.25,0.75,5
657,0.25,6.75,4
658,0.25,5.75,5
659,0.75,8.25,4
660,1.75,4.25,4
661,4.25,8.25,5
662,1.75,5.25,4
663,-0.25,8.25,5
664,3.75,0.25,5
665,4.25,6.25,4
666,-0.25,0.25,5
667,2.25,7.25,4
668,1.25,2.75,5
669,0.75,5.25,4
670,2.25,8.75,5
671,3.25,5.75,4
672,1.25,8.75,5
673,5.25,9.25,5
674,-0.25,8.75,4
675,4.75,8.25,4
676,0.75,4.75,5
